Scrape started on: 14:19:00
[STARTUP | Fri May 28 14:19:00 2021 | main.py | <module>]: Init Database
[STARTUP | Fri May 28 14:19:03 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Fri May 28 14:19:06 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Coca Inu failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: American Shiba failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Arteon Graphics Card: ARTX 1000 failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: www.sphynxxx.com failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Momo failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hall Network failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ninja Inu failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Micro Star International failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Tata Inu failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Shiken Inu failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: SpenceBuck failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Cavapoo failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Women Camel Toe failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Osmos failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: NFT Coffins failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Merkle Network Token (Locked) failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: www.melonmusk.info failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Meme Doge failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Giant Shiba Inu failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: CultureShockGalleries failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Pug INU failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Meme Doge failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: DT Ethereum Token failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hey Engineers failed eth check
[LOG | Fri May 28 14:19:22 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Potentially Promising Project failed eth check
