Scrape started on: 23:11:06
[STARTUP | Fri May 28 23:11:06 2021 | main.py | <module>]: Init Database
[STARTUP | Fri May 28 23:11:08 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Fri May 28 23:11:11 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Bugg Inu failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: MunnaMoon failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: God Love Token failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hermes Inu failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Herm�s Inu failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: S T A R B A S E failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: GenXYZ Coin failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: GenXYZ Coin failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: DojaCoin failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Kansas Tornado failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Brama failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Lamborghini Token failed eth check
[LOG | Fri May 28 23:11:26 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: VIQYY failed eth check
