Scrape started on: 01:13:47
[STARTUP | Thu Jul  1 01:13:47 2021 | main.py | <module>]: Init Database
[STARTUP | Thu Jul  1 01:13:48 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Thu Jul  1 01:13:50 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: TIGER Sanctuary Protocol Token failed eth check
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: Cryptovoxels Swapper v1 failed eth check
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: KIGGAL failed eth check
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: BUNE Protocol Secondary Token failed eth check
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: BigMoon failed eth check
[LOG | Thu Jul  1 01:13:50 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | parseFomo]: coin: NFT Public Profile failed eth check
[STARTUP | Thu Jul  1 01:13:50 2021 | main.py | <module>]: Parse the Fomo HTML
[STARTUP | Thu Jul  1 01:13:50 2021 | main.py | <module>]: Beginning Coin Loop
[SCRAPE | Thu Jul  1 01:13:51 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: McDONALDS not found on sniffer
[SCRAPE | Thu Jul  1 01:13:51 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Sadqah not found on sniffer
[SCRAPE | Thu Jul  1 01:13:51 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: BitZyon Finance not found on sniffer
