Scrape started on: 01:50:48
[STARTUP | Mon May 31 01:50:48 2021 | main.py | <module>]: Init Database
[STARTUP | Mon May 31 01:50:49 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Mon May 31 01:50:51 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Songoku Inu failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Infinity failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: AIRAVATA - THE KING OF ELEPHANTS failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: VENIX failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Shiba Inu Swap failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: SHLB failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ATEM failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum SAFEMOON failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: TVPreP failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Icrumba failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: OceanEx failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum KISHU failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: PigSwap failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Spadez failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Gold failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: EthereumCat failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Watermelon Swap Token failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum SHIBA failed eth check
[LOG | Mon May 31 01:50:58 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: United Finance Ordinance failed eth check
[LOG | Mon May 31 01:50:59 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: slashprotocol.com failed eth check
[LOG | Mon May 31 01:50:59 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: LTC failed eth check
[LOG | Mon May 31 01:50:59 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hachiko Inu failed eth check
[LOG | Mon May 31 01:50:59 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Sushi failed eth check
