Scrape started on: 11:10:09
[STARTUP | Mon May 31 11:10:09 2021 | main.py | <module>]: Init Database
[STARTUP | Mon May 31 11:10:10 2021 | main.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Mon May 31 11:10:14 2021 | main.py | <module>]: Selinum Scrape Done Closing
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Twerkies failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: BONDLY-ETH LP Staking Pool failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Leash failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Puppy failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Comrade Token | ComradeToken.com failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Miami Vice failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Charged Particles Protocol failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ice Cream Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Fomo Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Assets Core Platform Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hologram Coin failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Extreme failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Tellor Tributes failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Tellor Tributes failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: SHIBASWAP failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Elon failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Genesis failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Blast failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ether Bonny  t . me/etherbonnytoken failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Kai Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: MetacaskNFT failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: I'MBored failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: MuskRat failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Keres Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Eth S failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Kanto Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Vida failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Jieun failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Hadonggeun failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: crypto knight failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Tosui Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Bank  t . me/ethereumbanktoken failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Farallon Capital failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Fiat24 EUR failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Fiat24 USD failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Fiat24 Account failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum pak failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Spell Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum X Elon Musk failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Dirtbag Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: WolfHead t.me/WolfHeadToken failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Digital Pet Collection failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: charged.fi failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Dematrix failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: HopeDealer failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Ultimate failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Beyond failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: EQT failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ZOOME failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: YEEZY failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: KaikenToken failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: GoshiDoge failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: GOLDEN BRIDGE COIN failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: NFTCONVERSIONS failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Aimi Neko failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Eth Pro failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ZenFrog failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Bunny failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: https://t.me/EthereumExodia failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Shiba Bone Inu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Shiba failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ArtvatarsCommunity failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Bunny.Farm failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Etherium DOGE KILLER failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Digital Pets failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: TESTII failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: DeShu failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Apple Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: 3MSCI DeFi presentation 5/28/2021 Commemorative Coin failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ding Dan Coin failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum Banana failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Bull Coin failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: TULIP Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Contractart failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Daxtra Resume Processing Token Class 1A failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Pizza failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: eWallet failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: E-ADGO failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: OxCoin Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: DAVOS CUSTODY PTE. LTD. failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: DEF Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ZIQ Swap failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Fund Token failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: SHIBA INU KILLER failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: EtherBTC failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Ethereum X Uniswap failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: Cola Swap failed eth check
[LOG | Mon May 31 11:10:28 2021 | Z:\Repos\cryptovesting\pyFiles\scrape_poc.py | parseFomo]: coin: ZOOT www.zootoken.io failed eth check
