Scrape started on: 03:21:18
[STARTUP | Thu Jul  1 03:21:18 2021 | main.py | <module>]: Init Database
[DATABASE | Thu Jul  1 03:21:18 2021 | main.py | <module>]: Pulling down tokens from database
[LOG | Thu Jul  1 03:21:18 2021 | main.py | <module>]: Checking existing 8543 tokens in the database
[SCRAPE | Thu Jul  1 03:21:19 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: SkyWay not found on sniffer
[SCRAPE | Thu Jul  1 03:21:19 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: UselessToken not found on sniffer
[SCRAPE | Thu Jul  1 03:21:19 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: HUSKY INU not found on sniffer
[SCRAPE | Thu Jul  1 03:21:20 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Starlink not found on sniffer
[SCRAPE | Thu Jul  1 03:21:20 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: TITAN (https://t.me/titan_bsc) not found on sniffer
[SCRAPE | Thu Jul  1 03:21:20 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Condom not found on sniffer
[SCRAPE | Thu Jul  1 03:21:21 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Pussy Smegma not found on sniffer
[SCRAPE | Thu Jul  1 03:21:21 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Golf not found on sniffer
[SCRAPE | Thu Jul  1 03:21:21 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: DONT RUG ME BABY not found on sniffer
[SCRAPE | Thu Jul  1 03:21:22 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: krakenswap.org not found on sniffer
[SCRAPE | Thu Jul  1 03:21:22 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: StellarRise not found on sniffer
[SCRAPE | Thu Jul  1 03:21:23 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: FLOKITIGER Inu not found on sniffer
[SCRAPE | Thu Jul  1 03:21:23 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Bunny Shiba Coin not found on sniffer
[SCRAPE | Thu Jul  1 03:21:23 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: MoonMax not found on sniffer
[SCRAPE | Thu Jul  1 03:21:24 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: DEXTOOL not found on sniffer
[SCRAPE | Thu Jul  1 03:21:24 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Tyrannosaurus Rex not found on sniffer
[SCRAPE | Thu Jul  1 03:21:24 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: GalaxyToken not found on sniffer
[SCRAPE | Thu Jul  1 03:21:25 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: TEST2 Token not found on sniffer
[SCRAPE | Thu Jul  1 03:21:25 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Alchemix not found on sniffer
[SCRAPE | Thu Jul  1 03:21:25 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: ? Amazon not found on sniffer
[SCRAPE | Thu Jul  1 03:21:26 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Poroto not found on sniffer
[SCRAPE | Thu Jul  1 03:21:26 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: LINCOLN not found on sniffer
[SCRAPE | Thu Jul  1 03:21:26 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: SV Cafe BREW-MOCHA not found on sniffer
[SCRAPE | Thu Jul  1 03:21:27 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: RRR Lift Off not found on sniffer
[SCRAPE | Thu Jul  1 03:21:27 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: SuperMoon  not found on sniffer
[SCRAPE | Thu Jul  1 03:21:28 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Chimera not found on sniffer
[SCRAPE | Thu Jul  1 03:21:28 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: BITCOINNODE Inu not found on sniffer
[SCRAPE | Thu Jul  1 03:21:28 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: BoneDoge not found on sniffer
[SCRAPE | Thu Jul  1 03:21:29 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: test2 not found on sniffer
[SCRAPE | Thu Jul  1 03:21:29 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Simba not found on sniffer
[SCRAPE | Thu Jul  1 03:21:29 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Inflationary Token not found on sniffer
[SCRAPE | Thu Jul  1 03:21:30 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: KISHICHO TOKEN not found on sniffer
[SCRAPE | Thu Jul  1 03:21:30 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: NARUTO not found on sniffer
[SCRAPE | Thu Jul  1 03:21:30 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: mameshiba not found on sniffer
[SCRAPE | Thu Jul  1 03:21:31 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: FlokiBNB not found on sniffer
[SCRAPE | Thu Jul  1 03:21:31 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Apricot not found on sniffer
[SCRAPE | Thu Jul  1 03:21:32 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: MoonLight not found on sniffer
[SCRAPE | Thu Jul  1 03:21:32 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: CryptoSwap not found on sniffer
[SCRAPE | Thu Jul  1 03:21:32 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: HokkaidoInu not found on sniffer
[SCRAPE | Thu Jul  1 03:21:33 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Elon Floki Token not found on sniffer
[SCRAPE | Thu Jul  1 03:21:33 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: PORNHUB not found on sniffer
[SCRAPE | Thu Jul  1 03:21:33 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: HCCC not found on sniffer
[SCRAPE | Thu Jul  1 03:21:34 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: BlockStock not found on sniffer
[SCRAPE | Thu Jul  1 03:21:34 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: Baby Lion not found on sniffer
[SCRAPE | Thu Jul  1 03:21:34 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: SHIBC not found on sniffer
[SCRAPE | Thu Jul  1 03:21:35 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: SKIP INU not found on sniffer
[SCRAPE | Thu Jul  1 03:21:35 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: ShibaHold not found on sniffer
[SCRAPE | Thu Jul  1 03:21:36 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: VOLQAN not found on sniffer
[SCRAPE | Thu Jul  1 03:21:36 2021 | /home/fullsend/cryptovesting/pyFiles/scrape_poc.py | getSniffer]: token: RapidlyReusableRockets not found on sniffer
