Scrape started on: 15:00:22
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: account
[SCORE | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Scored 0.3
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: 0x
[SCORE | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Scored 0.3
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: account
[SCORE | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Scored 0.3
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: 0x
[SCORE | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Scored 0.3
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[SCORE | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Scored 0.1
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: lock
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:00:22 2021 | Z:\Repos\cryptovesting\pyFiles\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
