Scrape started on: 15:39:48
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: totalSupply
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 0.1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: newun
[SCORE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Scored 1
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[POINT | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Word found: owner
[DONE | Mon Jul  5 15:39:48 2021 | Z:\Repos\cryptovesting\scripts\rugmenot_contracts\contract_check.py | <module>]: Total Score: 6.1
