Scrape started on: 03:09:46
[STARTUP | Tue Jul  6 03:09:46 2021 | main_scrape.py | <module>]: nt Dtbse
[INFO | Tue Jul  6 03:09:46 2021 | main_scrape.py | <module>]: eqence eected: sfrs
[STARTUP | Tue Jul  6 03:09:47 2021 | main_scrape.py | <module>]: nnng ntred me t get kenFm. f st
[STARTUP | Tue Jul  6 03:09:56 2021 | main_scrape.py | <module>]: enm cre Dne sng
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yGr fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: AOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: kyrk fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: ANDHODAN DGAK fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yn fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Jmmy ffet fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Jmmy ffer fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yn fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: AOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Wrren ffett n fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: FrmerDAO fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Des Demn Ddes fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: tc fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: FrmerDAO fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: dr&eter fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: VxHndz fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: AOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yebse mmnty fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yn fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: DOKN_L fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Yng fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: OnyFrms fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Xtzcnte fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: fnd fst fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: ONYA fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Wsb fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yn fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: e Lgt ecte fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: nwb ectn NF fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: kyrk ken fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: Free rtney n fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: yDgeKng fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: sbc   sd fed et ceck
[LOG | Tue Jul  6 03:10:10 2021 | scrape/scrape_poc.py | parseFomo]: cn: 2 () Wred  fed et ceck
