Scrape started on: 17:20:43
[STARTUP | Tue Jul  6 17:20:43 2021 | main_scrape.py | <module>]: Init Database
[INFO | Tue Jul  6 17:20:43 2021 | main_scrape.py | <module>]: Sequence Selected: sfrs
[STARTUP | Tue Jul  6 17:20:44 2021 | main_scrape.py | <module>]: Running Controlled Chome to get TokenFomo.io full list
[STARTUP | Tue Jul  6 17:20:48 2021 | main_scrape.py | <module>]: Selinum Scrape Done Closing
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: O2MinerMiningToken failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: TestToken failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Euro Ballz Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Hola Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyNEWINU failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: POBA Assets failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Radio Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: abc failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: 11 PolyRoll ROLL-MATIC SLP failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Euro Ballz Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Euro Ballz Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: MASTERCHEFDUMMY failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyWhiskey failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Crypto Maniac failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Anonymous failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: haha failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: FSHIB_Dividend_Tracker failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: ZombieInu failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Micro Shiba Inu failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Liberty failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyRiseDOGE failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyRiseDOGE failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Show Rooms Media failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: The President Doge failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: The Divine Order Of the Zodiac failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: The Divine Order Of the Zodiac failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Create Tokens @ TokenKickoff.com failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Polycat failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: EnormousDoge failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Radio Token failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: PolyNEWINU failed eth check
[LOG | Tue Jul  6 17:20:59 2021 | scrape/scrape_poc.py | parseFomo]: coin: Se7en failed eth check
